Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
15/06/2008,OV231,Tallinn / Ulemiste (TLL/EETN),Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),00:00:00,00:00:00,03:08:00,Estonian Air (OV/ELL), (),,,1,1,1,,2956,872,263,0
23/06/2008,OV232,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,03:08:00,Estonian Air (OV/ELL), (),,,0,1,1,,872,2956,263,0
07/06/2009,12345,Tallinn / Ulemiste (TLL/EETN),Antalya / Antalya (AYT/LTAI),00:00:00,00:00:00,03:40:00,Estonian Air (OV/ELL), (),,,0,1,1,,2956,207,263,0
17/06/2009,12345,Antalya / Antalya (AYT/LTAI),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,03:40:00,Estonian Air (OV/ELL), (),,,0,1,1,,207,2956,263,0
04/06/2010,12345,Tallinn / Ulemiste (TLL/EETN),Antalya / Antalya (AYT/LTAI),00:00:00,00:00:00,03:40:00,Estonian Air (OV/ELL), (),,,0,0,1,,2956,207,263,0
18/06/2010,12345,Antalya / Antalya (AYT/LTAI),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,03:40:00,Estonian Air (OV/ELL), (),,,0,0,1,,207,2956,263,0
08/07/2011,12345,Tallinn / Ulemiste (TLL/EETN),Athens / Nikos Kazantzakis (HER/LGIR),00:00:00,00:00:00,03:52:00,Estonian Air (OV/ELL), (),,,0,1,1,,2956,1112,263,0
22/07/2011,12345,Athens / Nikos Kazantzakis (HER/LGIR),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,03:52:00,Estonian Air (OV/ELL), (),,,0,1,1,,1112,2956,263,0
24/07/2011,1,Tallinn / Ulemiste (TLL/EETN),Copenhagen / Kastrup (CPH/EKCH),00:00:00,00:00:00,01:23:00,Estonian Air (OV/ELL), (),,,0,1,1,,2956,606,263,0
24/07/2011,1,Copenhagen / Kastrup (CPH/EKCH),Barcelona / El Prat (BCN/LEBL),00:00:00,00:00:00,02:38:00,Cimber Sterling (QI/CIM), (),,,0,1,1,,606,239,184,0
31/07/2011,1,Barcelona / El Prat (BCN/LEBL),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,03:42:00,Estonian Air (OV/ELL), (),,,0,1,1,,239,2956,263,0
01/08/2012,1,Tallinn / Ulemiste (TLL/EETN),Vienna / Schwechat (VIE/LOWW),00:00:00,00:00:00,02:05:00,Estonian Air (OV/ELL), (),,,0,1,1,,2956,3179,263,0
08/08/2012,1,Vienna / Schwechat (VIE/LOWW),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,02:05:00,Estonian Air (OV/ELL), (),,,0,1,1,,3179,2956,263,0
12/08/2012,1,Helsinki / Vantaa (HEL/EFHK),Athens / Athens (JTR/LGSR),00:00:00,00:00:00,03:50:00,Finnair (AY/FIN), (),,,0,1,1,,1110,1366,304,0
12/08/2012,1,Athens / Athens (JTR/LGSR),Helsinki / Vantaa (HEL/EFHK),00:00:00,00:00:00,03:50:00,Finnair (AY/FIN), (),,,0,1,1,,1366,1110,304,0
23/07/2013,LH885,Tallinn / Ulemiste (TLL/EETN),Frankfurt / Frankfurt (FRA/EDDF),00:00:00,00:00:00,02:14:00,Lufthansa (LH/DLH), (),,,0,1,1,,2956,919,239,0
23/08/2013,LH1396,Frankfurt / Frankfurt (FRA/EDDF),Prague / Praha-Ruzyne (PRG/LKPR),00:00:00,00:00:00,00:47:00,Lufthansa (LH/DLH), (),,,0,1,1,,919,2398,239,0
24/07/2013,LH1397,Prague / Praha-Ruzyne (PRG/LKPR),Frankfurt / Frankfurt (FRA/EDDF),00:00:00,00:00:00,00:47:00,Lufthansa (LH/DLH), (),,,0,1,1,,2398,919,239,0
24/07/2013,LH884,Frankfurt / Frankfurt (FRA/EDDF),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,02:14:00,Lufthansa (LH/DLH), (),,,0,1,1,,919,2956,239,0
07/08/2013,1,Riga / Riga (RIX/EVRA),Frankfurt / Frankfurt (FRA/EDDF),00:00:00,00:00:00,01:58:00,Lufthansa (LH/DLH), (),,,0,1,2,,3623,919,239,0
07/08/2013,1,Frankfurt / Frankfurt (FRA/EDDF),Sofia / Sofia (SOF/LBSF),00:00:00,00:00:00,02:08:00,Lufthansa (LH/DLH), (),,,0,1,2,,919,2738,239,0
12/08/2013,1,Frankfurt / Frankfurt (FRA/EDDF),Riga / Riga (RIX/EVRA),00:00:00,00:00:00,01:58:00,Lufthansa (LH/DLH), (),,,0,1,2,,919,3623,239,0
12/08/2013,1,Sofia / Sofia (SOF/LBSF),Frankfurt / Frankfurt (FRA/EDDF),00:00:00,00:00:00,02:08:00,Lufthansa (LH/DLH), (),,,0,1,2,,2738,919,239,0
15/08/2013,1,Tallinn / Ulemiste (TLL/EETN),Stockholm / Bromma (BMA/ESSB),00:00:00,00:00:00,00:46:00,Flybe (BE/BEE), (),,,0,1,1,,2956,350,124,0
16/08/2013,1,Stockholm / Bromma (BMA/ESSB),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,00:46:00,Flybe (BE/BEE), (),,,0,1,1,,350,2956,124,0
27/11/2013,1,Tallinn / Ulemiste (TLL/EETN),London / Gatwick (LGW/EGKK),00:00:00,00:00:00,02:42:00,Easyjet (U2/EZY),Airbus A319 (A319),,,0,1,0,,2956,1614,291,26
01/12/2013,1,London / Gatwick (LGW/EGKK),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,02:42:00,Easyjet (U2/EZY),Airbus A319 (A319),,,0,1,0,,1614,2956,291,26
13/06/2014,1,Tallinn / Ulemiste (TLL/EETN),Vilnius / Vilnius (VNO/EYVI),00:00:00,00:00:00,00:58:00,SmartLynx Airlines (6Y/ART), (),,,0,1,1,,2956,3600,1416,0
13/06/2014,1,Vilnius / Vilnius (VNO/EYVI),Tunis / Tunis (NBE/DTNH),00:00:00,00:00:00,03:26:00,SmartLynx Airlines (6Y/ART), (),,,0,1,1,,3600,3851,1416,0
20/06/2014,1,Tunis / Tunis (NBE/DTNH),Vilnius / Vilnius (VNO/EYVI),00:00:00,00:00:00,03:26:00,SmartLynx Airlines (6Y/ART), (),,,0,1,1,,3851,3600,1416,0
20/06/2014,1,Vilnius / Vilnius (VNO/EYVI),Tallinn / Ulemiste (TLL/EETN),00:00:00,00:00:00,00:58:00,SmartLynx Airlines (6Y/ART), (),,,0,1,1,,3600,2956,1416,0
20/07/2014,1,Riga / Riga (RIX/EVRA),Istanbul / Ataturk (ISL/LTBA),00:00:00,00:00:00,02:41:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),,,0,1,2,,3623,1284,769,231
21/07/2014,1,Istanbul / Ataturk (ISL/LTBA),Sao Paulo / Guarulhos (GRU/SBGR),00:00:00,00:00:00,14:30:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,1,2,,1284,1043,769,2023
21/07/2014,1,Sao Paulo / Guarulhos (GRU/SBGR),Buenos Aires / Ministro Pistarini (EZE/SAEZ),00:00:00,00:00:00,02:34:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,1,2,,1043,3599,769,2023
26/07/2014,1,Buenos Aires / Ministro Pistarini (EZE/SAEZ),Sao Paulo / Guarulhos (GRU/SBGR),00:00:00,00:00:00,02:34:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,1,2,,3599,1043,769,2023
26/07/2014,1,Sao Paulo / Guarulhos (GRU/SBGR),Istanbul / Ataturk (ISL/LTBA),00:00:00,00:00:00,14:30:00,Turkish Airlines (TK/THY),Boeing 777-300ER (B77W),,,0,1,2,,1043,1284,769,2023
27/07/2014,1,Istanbul / Ataturk (ISL/LTBA),Riga / Riga (RIX/EVRA),00:00:00,00:00:00,02:41:00,Turkish Airlines (TK/THY),Boeing 737-800 (B738),,,0,1,2,,1284,3623,769,231
24/08/2014,1,Tallinn / Ulemiste (TLL/EETN),Amsterdam / Schiphol (AMS/EHAM),00:00:00,00:00:00,02:14:00,Estonian Air (OV/ELL),Embraer ERJ-145 (E145),,,0,1,2,,2956,122,263,653
